"Story","Title","Result","Date","Stability","Duration (s)"
"GitHub API","GET User details from Github","SUCCESS","2019-08-09T12:57:26.49-06:00[America/Denver]","0.0","9.81"
"GitHub API","Create a new Repository in Github","SUCCESS","2019-08-09T12:57:36.316-06:00[America/Denver]","0.0","2.55"
